country,gini_ethnic_inequality,ci95
Paraguay,0.21992542206564616,0.011982897687506192
Serbia,0.2003530215214372,0.033907628797071154
Uganda,0.16868760309361475,0.0153167254662443
Nigeria,0.15700250100562227,0.02053436165629572
Philippines,0.15422020040290038,0.011923242394514005
Lao PDR,0.15093813287659502,0.012973532421121562
Jordan,0.15067258117902227,0.014569294878482995
Guyana,0.14394220403469157,0.010666637369129126
Ethiopia,0.1325036585185599,0.021896477640188063
Suriname,0.12187661743728166,0.015186523865290525
Honduras,0.12177235952082972,0.016157131425612294
South Africa,0.11886152650407818,0.008382082820884743
Georgia,0.11780693191814162,0.027436481598834783
Guinea,0.11741799047374499,0.03663484492290921
Burkina Faso,0.11517774333941765,0.0138641339555527
Nepal,0.11486648985036657,0.010953916230056105
Benin,0.11423446256060882,0.013567956041461372
Belize,0.11260806351097694,0.0229231884923342
Guatemala,0.11188060965510942,0.024765994122259063
Kyrgyzstan,0.10528146447248218,0.021579065385848837
Sierra Leone,0.10211087548054994,0.01423507877069621
Ghana,0.09789028743146647,0.013391270937097978
Chad,0.09751536285791265,0.014141111557849412
Colombia,0.09701340026327279,0.02029864006689612
Togo,0.08714105172531798,0.02178131734349743
North Macedonia,0.086814417081589,0.027669511785117687
Kenya,0.08412744350718314,0.011173352983880948
Côte d’Ivoire,0.08298315544960753,0.012855903953498749
Mali,0.0796270263089069,0.023302988271339288
Gabon,0.07817668357355477,0.01875772310635676
Congo,0.07494081311029188,0.023024317034790288
Malawi,0.07101348169659655,0.023396697390384753
Central African Republic,0.07052292633041145,0.01575554077501431
Albania,0.06845822053518151,0.04383164028971025
Senegal,0.06808611748122613,0.019787811485751216
Gambia,0.0669443624908228,0.015666377386983284
Afghanistan,0.05476629530033865,0.01909239404301558
Guinea-Bissau,0.05390599807919536,0.02017230347458623
Kazakhstan,0.039201465074651186,0.011214740762789466
Cuba,0.007270932177275551,0.013484729780662843
