ethnicity,n,poorest,poorer,middle,richer,richest
Afar,107,0.8008211131338066,0.01744867510595399,0.009634055536433084,0.07761561442387997,0.0944805417999264
Nuwer,7,0.6597462484528385,0.044822575090613374,0.06066360018958057,0.01689667517960713,0.21787090108736049
Somalie,441,0.6450869650457053,0.08521248398285186,0.0729585866742197,0.059876539462396,0.13686542483482714
Gumuz,34,0.4242453814716012,0.36377954230935383,0.08991521452956497,0.09502668404146003,0.027033177648019963
Anyiwak,11,0.40068770235488665,0.14972139539778637,0.038059071274326735,0.05393554613768864,0.35759628483531164
Sidama,627,0.2784283395489665,0.25446021370150884,0.23168779677863463,0.1125731834547238,0.1228504665161663
Berta,45,0.24555762211895546,0.3086303617393355,0.20538698926459156,0.16898018356439704,0.07144484331272054
Tigrie,1204,0.23460457913011185,0.17206560155280964,0.14331150444529997,0.09551190022614363,0.35450641464563487
Gedeo,292,0.1879081392077418,0.15699587624612832,0.15435289743374447,0.23072477120522672,0.27001831590715863
Oromo,5339,0.15745279831075049,0.21319424579129917,0.19642824627541977,0.21173400204652787,0.22119070757600265
Gamo,247,0.15418876944073784,0.18316303318147048,0.16693664806575004,0.21388332654968428,0.28182822276235725
Kefficho,234,0.14829661078276538,0.2411707791554773,0.2892077851197926,0.1297689814768314,0.19155584346513324
Amhara,4670,0.1163155167938294,0.1542241410574331,0.1915038892281462,0.21032897012841953,0.32762748279217185
Hadiya,372,0.0978060423340175,0.2012584257724494,0.22309797604983583,0.3300299647626188,0.14780759108107844
Silte,190,0.08378330170132622,0.13752435087368847,0.20822675805287322,0.21843612010325789,0.3520294692688542
Kembata,197,0.07862286090693202,0.09103798930147265,0.25097490544380335,0.17893487633158148,0.4004293680162105
Welaita,493,0.07717670708345079,0.0641203076288059,0.2281815872372712,0.3448129998426876,0.28570839820778454
Guragie,443,0.028360520855288295,0.09676656526526853,0.11923805584327904,0.12436067188664082,0.6312741861495234
